2026-05-18,4821
2026-05-18,4821
2026-05-19,4821
2026-05-20,4821
2026-05-21,1500
2026-05-22,2389
2026-05-23,3368
2026-05-24,3368
2026-05-25,3368
2026-05-26,3368
2026-05-27,3368
2026-05-28,3368
2026-05-29,3368
2026-05-30,3368
2026-05-31,3368
2026-06-01,3368
2026-06-02,3368
2026-06-03,3368
2026-06-04,3368
2026-06-05,3368
2026-06-06,3368
2026-06-07,3645
2026-06-08,3645
2026-06-09,3645
2026-06-10,3645
2026-06-11,3645
2026-06-12,3582
2026-06-13,5035
2026-06-14,5035
2026-06-15,5035
2026-06-16,5035
2026-06-17,5035
2026-06-18,3000
2026-06-19,3000
2026-06-20,3000
2026-06-21,3000
2026-06-22,3000
2026-06-23,3000
2026-06-24,3060
2026-06-25,3518
2026-06-26,3715
2026-06-27,4218
2026-06-28,4174
2026-06-29,4174
2026-06-30,4174
2026-07-01,4174
2026-07-02,4174
2026-07-03,4174
2026-07-04,4174
2026-07-05,4174
2026-07-06,4174
2026-07-07,4174
2026-07-08,4174
2026-07-09,4174
2026-07-10,4653
2026-07-11,4653
2026-07-12,4653
2026-07-13,4653
2026-07-14,4653
2026-07-15,4653
2026-07-16,2364
2026-07-17,2364
2026-07-18,2364
2026-07-19,2364
2026-07-20,2364
2026-07-21,2364
2026-07-22,2364
2026-07-23,2364
2026-07-24,2364
2026-07-25,2364
2026-07-26,2364
2026-07-27,2364
2026-07-28,2364
2026-07-29,2364
2026-07-30,2364
2026-07-31,3611
2026-08-01,3611
2026-08-02,3611
2026-08-03,3611
2026-08-04,3611
2026-08-05,4112
